category_path,prices,stock,active,variants,tags,avg_rating,images,legacy
"[""Clothing"", ""Women"", ""Dresses""]","[{""country"": ""US"", ""currency"": ""EUR"", ""amount"": 79.63, ""vat_rate"": 0}]","{""total"": 91, ""reserved"": 3, ""warehouses"": {""WARSAW"": 45, ""NY"": 46}}",0,"[{""sku"": ""BET-0000-0"", ""color"": ""White"", ""size"": ""XL"", ""stock"": 55}, {""sku"": ""BET-0000-1"", ""color"": ""Black"", ""size"": ""XS"", ""stock"": 12}, {""sku"": ""BET-0000-2"", ""color"": ""Grey"", ""size"": ""S"", ""stock"": 65}]","[""dresses"", ""Dresses"", ""DRESSES"", ""sale""]",4.43,"[""https://beta-fashion.com/images/product-0-1.jpg"", ""https://beta-fashion.com/images/product-0-2.jpg""]",0
"[""Clothing"", ""Unisex"", ""Sneakers""]","[{""country"": ""FR"", ""currency"": ""USD"", ""amount"": 120.56, ""vat_rate"": 19}]","{""total"": 434, ""reserved"": 0, ""warehouses"": {""WARSAW"": 217, ""NY"": 217}}",0,"[{""sku"": ""BET-0001-0"", ""color"": ""Brown"", ""size"": ""M"", ""stock"": 36}]","[""sneakers"", ""Sneakers"", ""SNEAKERS"", ""new""]",4.91,"[""https://beta-fashion.com/images/product-1-1.jpg"", ""https://beta-fashion.com/images/product-1-2.jpg""]",0
"[""Clothing"", ""Men"", ""Jeans""]","[{""country"": ""US"", ""currency"": ""USD"", ""amount"": 104.28, ""vat_rate"": 19}]","{""total"": 453, ""reserved"": 44, ""warehouses"": {""WARSAW"": 226, ""NY"": 227}}",1,"[{""sku"": ""BET-0002-0"", ""color"": ""Red"", ""size"": ""XS"", ""stock"": 94}, {""sku"": ""BET-0002-1"", ""color"": ""Navy"", ""size"": ""XL"", ""stock"": 16}, {""sku"": ""BET-0002-2"", ""color"": ""Brown"", ""size"": ""XS"", ""stock"": 71}]","[""jeans"", ""Jeans"", ""JEANS"", ""fashion""]",4.15,"[""https://beta-fashion.com/images/product-2-1.jpg"", ""https://beta-fashion.com/images/product-2-2.jpg""]",0
"[""Clothing"", ""Women"", ""Dresses""]","[{""country"": ""US"", ""currency"": ""EUR"", ""amount"": 68.56, ""vat_rate"": 19}]","{""total"": 60, ""reserved"": 7, ""warehouses"": {""WARSAW"": 30, ""NY"": 30}}",0,"[{""sku"": ""BET-0003-0"", ""color"": ""Brown"", ""size"": ""M"", ""stock"": 59}]","[""dresses"", ""Dresses"", ""DRESSES"", ""fashion""]",3.74,"[""https://beta-fashion.com/images/product-3-1.jpg"", ""https://beta-fashion.com/images/product-3-2.jpg""]",1
"[""Clothing"", ""Women"", ""Tops""]","[{""country"": ""DE"", ""currency"": ""EUR"", ""amount"": 235.11, ""vat_rate"": 23}]","{""total"": 56, ""reserved"": 9, ""warehouses"": {""WARSAW"": 28, ""NY"": 28}}",1,"[{""sku"": ""BET-0004-0"", ""color"": ""Blue"", ""size"": ""XL"", ""stock"": 94}, {""sku"": ""BET-0004-1"", ""color"": ""Grey"", ""size"": ""S"", ""stock"": 60}, {""sku"": ""BET-0004-2"", ""color"": ""Brown"", ""size"": ""M"", ""stock"": 82}]","[""tops"", ""Tops"", ""TOPS"", ""new""]",4.69,"[""https://beta-fashion.com/images/product-4-1.jpg"", ""https://beta-fashion.com/images/product-4-2.jpg""]",0
"[""Clothing"", ""Men"", ""Hoodies""]","[{""country"": ""PL"", ""currency"": ""USD"", ""amount"": 204.19, ""vat_rate"": 19}]","{""total"": 157, ""reserved"": 4, ""warehouses"": {""WARSAW"": 78, ""NY"": 79}}",1,"[{""sku"": ""BET-0005-0"", ""color"": ""Green"", ""size"": ""S"", ""stock"": 84}]","[""hoodies"", ""Hoodies"", ""HOODIES"", ""casual""]",4.77,"[""https://beta-fashion.com/images/product-5-1.jpg"", ""https://beta-fashion.com/images/product-5-2.jpg""]",0
"[""Clothing"", ""Kids"", ""T-Shirts""]","[{""country"": ""PL"", ""currency"": ""PLN"", ""amount"": 47.81, ""vat_rate"": 23}]","{""total"": 307, ""reserved"": 68, ""warehouses"": {""WARSAW"": 153, ""NY"": 154}}",0,"[{""sku"": ""BET-0006-0"", ""color"": ""Brown"", ""size"": ""XL"", ""stock"": 52}, {""sku"": ""BET-0006-1"", ""color"": ""Green"", ""size"": ""S"", ""stock"": 18}]","[""t-shirts"", ""T-shirts"", ""T-SHIRTS"", ""casual""]",4.51,"[""https://beta-fashion.com/images/product-6-1.jpg"", ""https://beta-fashion.com/images/product-6-2.jpg""]",0
"[""Clothing"", ""Women"", ""Dresses""]","[{""country"": ""PL"", ""currency"": ""EUR"", ""amount"": 52.6, ""vat_rate"": 23}]","{""total"": 236, ""reserved"": 38, ""warehouses"": {""WARSAW"": 118, ""NY"": 118}}",1,"[{""sku"": ""BET-0007-0"", ""color"": ""Brown"", ""size"": ""L"", ""stock"": 77}]","[""dresses"", ""Dresses"", ""DRESSES"", ""casual""]",4.94,"[""https://beta-fashion.com/images/product-7-1.jpg"", ""https://beta-fashion.com/images/product-7-2.jpg""]",0
"[""Clothing"", ""Men"", ""Hoodies""]","[{""country"": ""US"", ""currency"": ""EUR"", ""amount"": 222.93, ""vat_rate"": 19}]","{""total"": 413, ""reserved"": 43, ""warehouses"": {""WARSAW"": 206, ""NY"": 207}}",0,"[{""sku"": ""BET-0008-0"", ""color"": ""Red"", ""size"": ""L"", ""stock"": 21}]","[""hoodies"", ""Hoodies"", ""HOODIES"", ""casual""]",4.91,"[""https://beta-fashion.com/images/product-8-1.jpg"", ""https://beta-fashion.com/images/product-8-2.jpg""]",0
"[""Clothing"", ""Accessories"", ""Caps""]","[{""country"": ""PL"", ""currency"": ""EUR"", ""amount"": 229.47, ""vat_rate"": 23}]","{""total"": 172, ""reserved"": 40, ""warehouses"": {""WARSAW"": 86, ""NY"": 86}}",0,"[{""sku"": ""BET-0009-0"", ""color"": ""Grey"", ""size"": ""S"", ""stock"": 48}, {""sku"": ""BET-0009-1"", ""color"": ""Blue"", ""size"": ""XL"", ""stock"": 100}, {""sku"": ""BET-0009-2"", ""color"": ""Black"", ""size"": ""XL"", ""stock"": 42}]","[""caps"", ""Caps"", ""CAPS"", ""casual""]",3.22,"[""https://beta-fashion.com/images/product-9-1.jpg"", ""https://beta-fashion.com/images/product-9-2.jpg""]",0
